,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,1226806,1259930,1293948,1328884,1364764,1400248,1436655,1474008,1510858
2,1086475,1115809,1145936,1176877,1208652,1240077,1272319,1305399,1338034
3,1275843,1310291,1345669,1382002,1419316,1456218,1494080,1532926,1571249
4,1230383,1263603,1297721,1332759,1368744,1404331,1440843,1478305,1515263
5,1249844,1283589,1318246,1353839,1390393,1426543,1463633,1501687,1539230
6,1211444,1244153,1277745,1312244,1347675,1382714,1418665,1455550,1491939
7,1198692,1231056,1264295,1298431,1333489,1368159,1403731,1440228,1476234
8,1098361,1128017,1158473,1189752,1221875,1253644,1286239,1319681,1352673
9,1144505,1175407,1207143,1239736,1273209,1306312,1340276,1375123,1409501
10,1094989,1124554,1154917,1186100,1218125,1249796,1282291,1315630,1348521
11,1231631,1264885,1299037,1334111,1370132,1405755,1442305,1479805,1516800
12,865863,889241,913250,937908,963232,988276,1013971,1040334,1066343
13,1131107,1161647,1193011,1225223,1258304,1291020,1324586,1359025,1393001
14,990211,1016946,1044404,1072603,1101563,1130204,1159589,1189739,1219482
15,956127,981942,1008455,1035683,1063646,1091301,1119675,1148786,1177506
16,922206,947106,972677,998940,1025911,1052585,1079952,1108031,1135731
17,881371,905168,929608,954707,980484,1005977,1032132,1058968,1085442
18,847225,870100,893592,917719,942498,967003,992145,1017941,1043389
19,912977,937628,962944,988943,1015645,1042051,1069145,1096942,1124366
20,726536,746152,766298,786988,808237,829251,850812,872933,894756
21,995025,1021891,1049482,1077818,1106919,1135699,1165227,1195523,1225411
22,661271,679125,697462,716293,735633,754759,774383,794517,814380
23,791101,812461,834397,856926,880063,902945,926421,950508,974271
24,730397,750118,770371,791171,812533,833659,855334,877572,899512
25,705441,724488,744049,764139,784770,805174,826109,847588,868777
26,889586,913605,938273,963606,989623,1015353,1041753,1068838,1095559
27,624087,640938,658243,676016,694268,712319,730839,749841,768587
28,626203,643110,660474,678307,696622,714734,733317,752383,771193
29,627724,644673,662079,679955,698314,716470,735098,754210,773066
30,526353,540564,555160,570149,585543,600767,616387,632413,648223
31,870018,893508,917633,942409,967854,993018,1018837,1045327,1071460
32,414311,425498,436986,448785,460902,472885,485180,497795,510240
33,537142,551644,566539,581835,597545,613081,629021,645376,661510
34,372269,382320,392643,403244,414132,424899,435947,447281,458463
35,399108,409884,420950,432316,443989,455532,467376,479528,491516
36,658109,675878,694126,712868,732115,751150,770680,790718,810486
37,369643,379623,389873,400400,411211,421902,432871,444126,455229
38,349171,358598,368281,378224,388436,398535,408897,419529,430017
39,373511,383595,393953,404589,415513,426316,437401,448773,459992
40,316461,325005,333780,342792,352048,361201,370592,380228,389733
41,584670,600456,616668,633319,650418,667329,684680,702481,720043
42,238985,245438,252064,258870,265860,272772,279864,287140,294319
43,282823,290460,298302,306356,314628,322808,331201,339812,348308
44,216405,222248,228249,234412,240741,247000,253422,260011,266511
45,198653,204016,209525,215182,220992,226738,232633,238681,244648
46,391906,402488,413355,424516,435977,447313,458943,470875,482647
47,243602,250180,256934,263872,270996,278042,285271,292688,300005
48,223963,230010,236220,242598,249148,255626,262273,269092,275819
49,233952,240268,246756,253418,260260,267027,273970,281093,288120
50,217900,223783,229825,236030,242403,248706,255172,261806,268352
51,366616,376515,386681,397121,407844,418448,429327,440490,451502
52,161610,165973,170454,175057,179783,184458,189254,194174,199029
53,176134,180889,185773,190789,195940,201035,206262,211625,216915
54,140677,144476,148377,152383,156497,160566,164741,169024,173250
55,139970,143749,147630,151616,155710,159758,163912,168174,172378
56,206152,211718,217434,223305,229334,235297,241415,247691,253884
57,140977,144784,148693,152708,156831,160908,165092,169384,173619
58,162300,166682,171182,175804,180551,185245,190062,195003,199878
59,102228,104988,107822,110734,113723,116680,119714,122826,125897
60,121650,124935,128308,131772,135330,138849,142459,146163,149817
61,244487,251088,257867,264830,271980,279051,286307,293751,301094
62,104123,106935,109822,112787,115832,118844,121934,125104,128232
63,91404,93872,96406,99009,101683,104326,107039,109822,112568
64,83689,85949,88269,90653,93100,95521,98004,100553,103066
65,87692,90060,92492,94989,97554,100090,102692,105362,107997
66,123651,126989,130418,133939,137556,141132,144802,148566,152281
67,68230,70072,71964,73907,75902,77876,79901,81978,84028
68,80266,82433,84659,86945,89292,91614,93996,96440,98851
69,58439,60017,61638,63302,65011,66701,68436,70215,71970
70,72132,74080,76080,78134,80244,82330,84471,86667,88834
71,152095,156201,160419,164750,169198,173597,178111,182742,187310
72,47441,48722,50038,51389,52776,54148,55556,57001,58426
73,52223,53633,55081,56568,58096,59606,61156,62746,64315
74,49331,50663,52031,53436,54878,56305,57769,59271,60753
75,48051,49349,50681,52049,53455,54845,56271,57734,59177
76,65815,67592,69417,71292,73216,75120,77073,79077,81054
77,36985,37984,39010,40063,41144,42214,43312,44438,45549
78,38144,39174,40231,41318,42433,43536,44668,45830,46976
79,36380,37363,38372,39408,40472,41524,42603,43711,44804
80,47267,48543,49854,51200,52582,53949,55352,56791,58211
81,70904,72818,74785,76804,78877,80928,83032,85191,87321
82,30737,31567,32419,33295,34194,35083,35995,36931,37854
83,22731,23344,23975,24622,25287,25944,26619,27311,27994
84,19377,19901,20438,20990,21556,22117,22692,23282,23864
85,20548,21103,21673,22258,22859,23453,24063,24689,25306
86,195613,200894,206318,211889,217610,223268,229073,235029,240904
